Reference,Footprint,Qty,MPN
"C1,C2,C3,C4,C5,C6",Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,6,
"C7,C9",Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,2,
C8,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,
"C10,C11",Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,2,
D1,Diode_SMD:D_SOD-128,1,"PMEG4050EP,115"
D2,LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,
D4,Diode_SMD:D_SOD-128,1,DMG2301L-7 
J1,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,1,
J2,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,1,
J3,Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,
J4,Connector_USB:USB_C_Receptacle_GCT_USB4085,1,USB4085-GF-A
LS1,Buzzer_Beeper:Buzzer_12x9.5RM7.6,1,
Q1,Package_TO_SOT_SMD:SOT-23,1,DMG2301L-7
Q2,Package_TO_SOT_SMD:SOT-23-3,1,S8550
Q3,Package_TO_SOT_SMD:SOT-23,1,BSS138
"R1,R2",Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2,
"R3,R4,R9,R10",Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,4,
"R5,R6,R7,R8",Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,4,
R11,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,
"R12,R13",Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2,
"SW1,SW2,SW3",-- mixed values --,3,
"TP1,TP2,TP3,TP4,TP5,TP6",-- mixed values --,6,
U1,RF_Module:ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N16
U2,Package_SO:SOP-16_3.9x9.9mm_P1.27mm,1,HX711
U3,Package_TO_SOT_SMD:SOT-23-5,1,MCP73832T-5ACI/OT
U4,Package_TO_SOT_SMD:SOT-89-5_Handsoldering,1,AP2112R5-3.3TRG1
